"FieldGoalDistance","FieldGoalResult","HomeTeam","Month","KickerName","desc"
19,1,"CIN","9","M.Crosby","(6:36) M.Crosby 19 yard field goal is GOOD, Center-B.Goode, Holder-T.Masthay."
26,1,"CIN","9","M.Crosby","(:03) M.Crosby 26 yard field goal is GOOD, Center-B.Goode, Holder-T.Masthay."
52,0,"CIN","9","M.Nugent","(:32) M.Nugent 52 yard field goal is No Good, Wide Left, Center-C.Harris, Holder-K.Huber."
19,1,"DAL","9","D.Bailey","(2:10) (Field Goal formation) D.Bailey 19 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
35,0,"DAL","9","D.Bailey","(9:40) (Field Goal formation) D.Bailey 35 yard field goal is No Good, Wide Right, Center-L.Ladouceur, Holder-C.Jones."
38,1,"MIN","9","B.Cundiff","(6:12) B.Cundiff 38 yard field goal is GOOD, Center-C.Yount, Holder-S.Lanning."
43,1,"MIN","9","B.Walsh","(1:12) B.Walsh 43 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
30,1,"MIN","9","B.Walsh","(10:50) B.Walsh 30 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
52,1,"MIA","9","M.Bryant","(13:03) (Field Goal formation) M.Bryant 52 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
20,1,"MIA","9","M.Bryant","(2:08) (Field Goal formation) M.Bryant 20 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
46,1,"MIA","9","C.Sturgis","(:02) (Field Goal formation) C.Sturgis 46 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
50,1,"MIA","9","C.Sturgis","(9:25) (Field Goal formation) C.Sturgis 50 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
33,1,"MIA","9","M.Bryant","(11:43) (Field Goal formation) M.Bryant 33 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
35,0,"MIA","9","M.Bryant","(4:50) (Field Goal formation) M.Bryant 35 yard field goal is No Good, Wide Right, Center-J.Harris, Holder-M.Bosher."
37,1,"NYJ","9","D.Carpenter","(13:48) D.Carpenter 37 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
23,1,"NYJ","9","D.Carpenter","(10:00) D.Carpenter 23 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
